Unnamed: 0	fuzzy_match	canonical
515	u.n. secretary general ban ki-moon	Ban Ki-moon
516	u.n. secretary-general ban ki-moon	Ban Ki-moon
517	Ban ki-moon, the united nations secretary general	Ban Ki-moon
518	Even un secretary general ban ki moon	Ban Ki-moon
519	Ki-moon	Ban Ki-moon
520	Mr. ban	Ban Ki-moon
521	The publicity stunt of ban ki-moon	Ban Ki-moon
522	U.n. secretary general ban ki-moon	Ban Ki-moon
523	U.n. secretary-general ban ki-moon	Ban Ki-moon
524	activist groups including greenpeace	Greenpeace
525	activist groups such as greenpeace and moveon.org	Greenpeace
526	dozens of greenpeace activists	Greenpeace
527	former greenpeace u.k. executive director stephen tindale	Greenpeace
528	greenpeace	Greenpeace
529	greenpeace co-founder patrick moore	Patrick Moore
530	greenpeace founder patrick moore	Patrick Moore
531	greenpeace southeast asia and the centre for research on energy and clean air	Greenpeace
532	greenpeace’s schreiber	Greenpeace
533	greenpeace’s unearthed investigations team	Greenpeace
534	jennifer morgan, greenpeace international's executive director	Greenpeace
535	jim riccio, the nuclear policy analyst at greenpeace	Greenpeace
536	julien jreissati from greenpeace in the middle east	Greenpeace
537	mr. stewart of greenpeace	Greenpeace
538	patrick moore, the co-founder of greenpeace	Patrick Moore
539	the greenpeace report	Greenpeace
540	Activist groups including greenpeace	Greenpeace
541	Activist groups such as greenpeace and moveon.org	Greenpeace
542	Dozens of greenpeace activists	Greenpeace
543	Former greenpeace u.k. executive director stephen tindale	Greenpeace
544	Greenpeace	Greenpeace
545	Greenpeace co-founder patrick moore	Patrick Moore
546	Greenpeace founder patrick moore	Patrick Moore
547	Greenpeace southeast asia and the centre for research on energy and clean air	Greenpeace
548	Greenpeace’s schreiber	Greenpeace
549	Greenpeace’s unearthed investigations team	Greenpeace
550	Jennifer morgan, greenpeace international's executive director	Greenpeace
551	Jim riccio, the nuclear policy analyst at greenpeace	Greenpeace
552	Julien jreissati from greenpeace in the middle east	Greenpeace
553	Mr. stewart of greenpeace	Greenpeace
554	Patrick moore, the co-founder of greenpeace	Patrick Moore
555	The greenpeace report	Greenpeace
556	senate majority leader harry reid	Harry Reid
557	senator harry reid	Harry Reid
558	Senate majority leader harry reid	Harry Reid
559	Senator harry reid	Harry Reid
560	mother jones	Mother Jones
561	mother jones‘ kevin drum	Mother Jones
562	mother jones‘ shane bauer	Mother Jones
563	Mother jones	Mother Jones
564	Mother jones‘ kevin drum	Mother Jones
565	Mother jones‘ shane bauer	Mother Jones
566	kevin trenberth	Kevin Trenberth
567	kevin trenberth of the national center for atmospheric research	Kevin Trenberth
568	mann and kevin trenberth of the national center for atmospheric research	Kevin Trenberth
569	trenberth	Kevin Trenberth
570	trenberth and climate modeler jerry meehl of ncar	Kevin Trenberth
571	— kevin cramer (@kevincramer)	Kevin Cramer
572	Kevin trenberth	Kevin Trenberth
573	Kevin trenberth of the national center for atmospheric research	Kevin Trenberth
574	Mann and kevin trenberth of the national center for atmospheric research	Kevin Trenberth
575	Trenberth	Kevin Trenberth
576	Trenberth and climate modeler jerry meehl of ncar	Kevin Trenberth
577	gavin a. schmidt of nasa	Gavin Schmidt
578	gavin schmidt	Gavin Schmidt
579	gavin schmidt, climate scientist at the nasa goddard space institute in new york	Gavin Schmidt
580	gavin schmidt, director of the nasa/giss climate group	Gavin Schmidt
581	giss director gavin schmidt in the statement	Gavin Schmidt
582	nasa scientist gavin schmidt	Gavin Schmidt
583	nasa’s top climate scientist gavin schmidt	Gavin Schmidt
584	schmidt	Gavin Schmidt
585	Gavin a. schmidt of nasa	Gavin Schmidt
586	Gavin schmidt	Gavin Schmidt
587	Gavin schmidt, climate scientist at the nasa goddard space institute in new york	Gavin Schmidt
588	Gavin schmidt, director of the nasa/giss climate group	Gavin Schmidt
589	Giss director gavin schmidt in the statement	Gavin Schmidt
590	Nasa scientist gavin schmidt	Gavin Schmidt
591	Nasa’s top climate scientist gavin schmidt	Gavin Schmidt
592	Schmidt	Gavin Schmidt
593	antonio guterres	António Guterres
594	guterre	António Guterres
595	guterres	António Guterres
596	secretary-general antónio guterres	António Guterres
597	u.n. secretary-general antónio guterres	António Guterres
598	un chief antonio guterres	António Guterres
599	un secretary general antónio guterres	António Guterres
600	un secretary-general antonio guterres	António Guterres
601	un secretary-general antónio guterres	António Guterres
602	united nations secretary general antónio guterres	United Nations
603	united nations secretary-general antonio guterres	United Nations
604	– u.n. secretary-general antonio guterres	António Guterres
605	Antonio guterres	António Guterres
606	Guterre	António Guterres
607	Guterres	António Guterres
608	Secretary-general antónio guterres	António Guterres
609	U.n. secretary-general antónio guterres	António Guterres
610	Un chief antonio guterres	António Guterres
611	Un secretary general antónio guterres	António Guterres
612	Un secretary-general antonio guterres	António Guterres
613	Un secretary-general antónio guterres	António Guterres
614	United nations secretary general antónio guterres	United Nations
615	United nations secretary-general antonio guterres	United Nations
616	david roberts	David Roberts
617	david roberts of vox	David Roberts
618	the holy grail: affordable energy storage  david roberts  	David Roberts
619	David roberts	David Roberts
620	David roberts of vox	David Roberts
621	The holy grail: affordable energy storage  david roberts  	David Roberts
622	sierra club executive director michael brune	Sierra Club
623	Sierra club executive director michael brune	Sierra Club
624	epa administrator lisa jackson	Lisa Jackson
625	epa administrator lisa p. jackson	Lisa Jackson
626	epa chief lisa jackson	Lisa Jackson
627	even epa administrator lisa jackson	Lisa Jackson
628	even epa director lisa jackson	Lisa Jackson
629	former epa administrator lisa p. jackson	Lisa Jackson
630	lisa jackson	Lisa Jackson
631	lisa jackson, the new epa administrator	Lisa Jackson
632	lisa p. jackson, the new e.p.a. administrator	Lisa Jackson
633	mr. obama and ms. jackson	Lisa Jackson
634	the e.p.a.’s administrator, lisa p. jackson	Lisa Jackson
635	Epa administrator lisa jackson	Lisa Jackson
636	Epa administrator lisa p. jackson	Lisa Jackson
637	Epa chief lisa jackson	Lisa Jackson
638	Even epa administrator lisa jackson	Lisa Jackson
639	Even epa director lisa jackson	Lisa Jackson
640	Former epa administrator lisa p. jackson	Lisa Jackson
641	Lisa jackson	Lisa Jackson
642	Lisa jackson, the new epa administrator	Lisa Jackson
643	Lisa p. jackson, the new e.p.a. administrator	Lisa Jackson
644	Mr. obama and ms. jackson	Lisa Jackson
645	The e.p.a.’s administrator, lisa p. jackson	Lisa Jackson
646	climate scientist katharine hayhoe	Katharine Hayhoe
647	co-author katharine hayhoe, a texas tech university climate scientist	Katharine Hayhoe
648	dr. hayhoe	Katharine Hayhoe
649	hayhoe	Katharine Hayhoe
650	katharine hayhoe	Katharine Hayhoe
651	katharine hayhoe, a climate scientist at texas tech university who was a lead author of the 2018 national climate assessment	Katharine Hayhoe
652	katharine hayhoe, the director of the climate science center at texas tech university	Katharine Hayhoe
653	professor katharine hayhoe of texas tech university	Katharine Hayhoe
654	texas tech university climate scientist katharine hayhoe on a press call thursday	Katharine Hayhoe
655	the renowned climate scientist katharine hayhoe	Katharine Hayhoe
656	Climate scientist katharine hayhoe	Katharine Hayhoe
657	Co-author katharine hayhoe, a texas tech university climate scientist	Katharine Hayhoe
658	Dr. hayhoe	Katharine Hayhoe
659	Hayhoe	Katharine Hayhoe
660	Katharine hayhoe	Katharine Hayhoe
661	Katharine hayhoe, a climate scientist at texas tech university who was a lead author of the 2018 national climate assessment	Katharine Hayhoe
662	Katharine hayhoe, the director of the climate science center at texas tech university	Katharine Hayhoe
663	Professor katharine hayhoe of texas tech university	Katharine Hayhoe
664	Texas tech university climate scientist katharine hayhoe on a press call thursday	Katharine Hayhoe
665	The renowned climate scientist katharine hayhoe	Katharine Hayhoe
666	billionaires like richard branson, tom steyer, jeff bezos, george soros and mark zuckerberg	George Soros
667	george soros	George Soros
668	leftist billionaire george soros	George Soros
669	soros	George Soros
670	Billionaires like richard branson, tom steyer, jeff bezos, george soros and mark zuckerberg	George Soros
671	George soros	George Soros
672	Leftist billionaire george soros	George Soros
673	Soros	George Soros
674	climatologist judith curry	Judith Curry
675	dr. curry, the former chair of the school of earth and atmospheric sciences at georgia tech	Judith Curry
676	georgia tech climatologist judith curry	Judith Curry
677	georgia tech judith curry	Judith Curry
678	he and former georgia tech climatologist judith curry	Judith Curry
679	judith curry	Judith Curry
680	judith curry's	Judith Curry
681	judith curry, a georgia institute of technology climate scientist	Judith Curry
682	judith curry, a scientist who was considering participating in the panel	Judith Curry
683	ms. curry	Judith Curry
684	the learned dr. curry	Judith Curry
685	Climatologist judith curry	Judith Curry
686	Dr. curry, the former chair of the school of earth and atmospheric sciences at georgia tech	Judith Curry
687	Georgia tech climatologist judith curry	Judith Curry
688	Georgia tech judith curry	Judith Curry
689	He and former georgia tech climatologist judith curry	Judith Curry
690	Judith curry	Judith Curry
691	Judith curry's	Judith Curry
692	Judith curry, a georgia institute of technology climate scientist	Judith Curry
693	Judith curry, a scientist who was considering participating in the panel	Judith Curry
694	Ms. curry	Judith Curry
695	The learned dr. curry	Judith Curry
696	christopher hayes	Chris Hayes
697	hayes	Chris Hayes
698	liberal msnbc host chris hayes	Chris Hayes
699	msnbc's chris hayes	Chris Hayes
700	Christopher hayes	Chris Hayes
701	Hayes	Chris Hayes
702	Liberal msnbc host chris hayes	Chris Hayes
703	Msnbc's chris hayes	Chris Hayes
704	dr. pachauri	Rajendra Pachauri
705	dr. rajendra pachauri, a chairman of the panel	Rajendra Pachauri
706	mr. pachauri	Rajendra Pachauri
707	pachauri	Rajendra Pachauri
708	rajendra k. pachauri	Rajendra Pachauri
709	Dr. pachauri	Rajendra Pachauri
710	Dr. rajendra pachauri, a chairman of the panel	Rajendra Pachauri
711	Mr. pachauri	Rajendra Pachauri
712	Pachauri	Rajendra Pachauri
713	Rajendra k. pachauri	Rajendra Pachauri
714	even obama administration senior science adviser john holdren	John Holdren
715	holdren	John Holdren
716	john holdren	John Holdren
717	leading scientist john holdren	John Holdren
718	obama science adviser john holdren	John Holdren
719	president obama and john holdren, his chief science advisor	John Holdren
720	president obama’s science czar john holdren	John Holdren
721	the president’s science advisor, john holdren	John Holdren
722	white house science czar john holdren	John Holdren
723	Even obama administration senior science adviser john holdren	John Holdren
724	Holdren	John Holdren
725	John holdren	John Holdren
726	Leading scientist john holdren	John Holdren
727	Obama science adviser john holdren	John Holdren
728	President obama and john holdren, his chief science advisor	John Holdren
729	President obama’s science czar john holdren	John Holdren
730	The president’s science advisor, john holdren	John Holdren
731	White house science czar john holdren	John Holdren
732	grist	Grist
733	the grist article's thesis	Grist
734	Grist	Grist
735	The grist article's thesis	Grist
736	activist jane fonda	Jane Fonda
737	actress jane fonda	Jane Fonda
738	far-left actress jane fonda	Jane Fonda
739	fonda	Jane Fonda
740	hanoi jane fonda	Jane Fonda
741	jane fonda	Jane Fonda
742	jane fonda dismisses	Jane Fonda
743	jane fonda 	Jane Fonda
744	jane howard, a spokeswoman for the world food program in rome	Jane Fonda
745	washington — actress and activist jane fonda	Jane Fonda
746	Activist jane fonda	Jane Fonda
747	Actress jane fonda	Jane Fonda
748	Far-left actress jane fonda	Jane Fonda
749	Fonda	Jane Fonda
750	Hanoi jane fonda	Jane Fonda
751	Jane fonda	Jane Fonda
752	Jane fonda dismisses	Jane Fonda
753	Jane fonda 	Jane Fonda
754	Jane howard, a spokeswoman for the world food program in rome	Jane Fonda
755	Washington — actress and activist jane fonda	Jane Fonda
756	energy secretary ernest moniz	Ernest Moniz
757	ernest moniz	Ernest Moniz
758	former obama administration energy secretary ernest moniz	Ernest Moniz
759	mccarthy and energy secretary ernest moniz	Ernest Moniz
760	moniz	Ernest Moniz
761	moniz at the efi's national press club event	Ernest Moniz
762	ms. mccarthy and mr. moniz	Ernest Moniz
763	secretary moniz	Ernest Moniz
764	u.s. energy secretary ernest moniz (ap photo)  (cnsnews.com)	Ernest Moniz
765	Energy secretary ernest moniz	Ernest Moniz
766	Ernest moniz	Ernest Moniz
767	Former obama administration energy secretary ernest moniz	Ernest Moniz
768	Mccarthy and energy secretary ernest moniz	Ernest Moniz
769	Moniz	Ernest Moniz
770	Moniz at the efi's national press club event	Ernest Moniz
771	Ms. mccarthy and mr. moniz	Ernest Moniz
772	Secretary moniz	Ernest Moniz
773	U.s. energy secretary ernest moniz (ap photo)  (cnsnews.com)	Ernest Moniz
774	hogan	Larry Hogan
775	larry hogan	Larry Hogan
776	Hogan	Larry Hogan
777	Larry hogan	Larry Hogan
778	Nye	Bill Nye
779	bill nye	Bill Nye
780	bill nye the science guy	Bill Nye
781	bill nye who came to fame as ‘the science guy	Bill Nye
782	mechanical engineer-turned-science tv host bill nye	Bill Nye
783	“bill nye	Bill Nye
784	… nye	Bill Nye
785	nye	Bill Nye
786	Bill nye	Bill Nye
787	Bill nye the science guy	Bill Nye
788	Bill nye who came to fame as ‘the science guy	Bill Nye
789	Mechanical engineer-turned-science tv host bill nye	Bill Nye
790	krugman	Paul Krugman
791	new york times columnist paul krugman	Paul Krugman
792	paul krugman	Paul Krugman
793	paul krugman’s	Paul Krugman
794	Krugman	Paul Krugman
795	New york times columnist paul krugman	Paul Krugman
796	Paul krugman	Paul Krugman
797	Paul krugman’s	Paul Krugman
798	climate scientist michael oppenheimer	Michael Oppenheimer
799	dr. michael oppenheimer, a professor of geosciences at princeton	Michael Oppenheimer
800	michael oppenheimer	Michael Oppenheimer
801	michael oppenheimer (cfr)	Michael Oppenheimer
802	michael oppenheimer of the environmental defense fund	Michael Oppenheimer
803	oppenheimer	Michael Oppenheimer
804	princeton university climate scientist michael oppenheimer	Michael Oppenheimer
805	renowned scientist michael e. mann	Michael E. Mann
806	Climate scientist michael oppenheimer	Michael Oppenheimer
807	Dr. michael oppenheimer, a professor of geosciences at princeton	Michael Oppenheimer
808	Michael oppenheimer	Michael Oppenheimer
809	Michael oppenheimer (cfr)	Michael Oppenheimer
810	Michael oppenheimer of the environmental defense fund	Michael Oppenheimer
811	Oppenheimer	Michael Oppenheimer
812	Princeton university climate scientist michael oppenheimer	Michael Oppenheimer
813	Renowned scientist michael e. mann	Michael E. Mann
814	george monbiot	George Monbiot
815	george monbiot of the guardian]	George Monbiot
816	monbiot	George Monbiot
817	George monbiot	George Monbiot
818	George monbiot of the guardian]	George Monbiot
819	Monbiot	George Monbiot
820	dr. oreskes	Naomi Oreskes
821	naomi oreskes	Naomi Oreskes
822	naomi oreskes, a harvard university professor who researches the history of climate science	Naomi Oreskes
823	oreske	Naomi Oreskes
824	oreskes	Naomi Oreskes
825	science historian naomi oreskes	Naomi Oreskes
826	Dr. oreskes	Naomi Oreskes
827	Naomi oreskes	Naomi Oreskes
828	Naomi oreskes, a harvard university professor who researches the history of climate science	Naomi Oreskes
829	Oreske	Naomi Oreskes
830	Oreskes	Naomi Oreskes
831	Science historian naomi oreskes	Naomi Oreskes
832	doniger	David Doniger
833	Doniger	David Doniger
834	a new study from lund university in sweden, published aug. 17 in nature geoscience	Nature Geoscience
835	a peer reviewed study in nature climate change published in 2013	Nature Geoscience
836	a separate study in nature geoscience also on wednesday	Nature Geoscience
837	a study in nature geoscience, which was published in 2010	Nature Geoscience
838	simon lewis, a senior author of the study published in the journal nature and a professor at britain’s university of leeds	Nature Geoscience
839	the study, published in the journal nature geoscience	Nature Geoscience
840	this potential nature [journal] paper	Nature Geoscience
841	A new study from lund university in sweden, published aug. 17 in nature geoscience	Nature Geoscience
842	A peer reviewed study in nature climate change published in 2013	Nature Geoscience
843	A separate study in nature geoscience also on wednesday	Nature Geoscience
844	A study in nature geoscience, which was published in 2010	Nature Geoscience
845	Simon lewis, a senior author of the study published in the journal nature and a professor at britain’s university of leeds	Nature Geoscience
846	The study, published in the journal nature geoscience	Nature Geoscience
847	This potential nature [journal] paper	Nature Geoscience
848	firebrand conservative rep. matt gaetz, r-fla	Matt Gaetz
849	gaetz	Matt Gaetz
850	matt gaetz	Matt Gaetz
851	rep. matt gaetz	Matt Gaetz
852	Firebrand conservative rep. matt gaetz, r-fla	Matt Gaetz
853	Gaetz	Matt Gaetz
854	Matt gaetz	Matt Gaetz
855	Rep. matt gaetz	Matt Gaetz
856	caldeira	Ken Caldeira
857	Caldeira	Ken Caldeira
858	stern	Todd Stern
859	stern and the ipcc	Todd Stern
860	stern's 700-page report	Todd Stern
861	todd d. stern, the chief american climate negotiator	Todd Stern
862	todd stern	Todd Stern
863	todd stern, the american climate envoy	Todd Stern
864	todd stern, the chief american climate negotiator	Todd Stern
865	u.s. climate envoy todd stern	Todd Stern
866	us climate negotiator todd stern	Todd Stern
867	Stern	Todd Stern
868	Stern and the ipcc	Todd Stern
869	Stern's 700-page report	Todd Stern
870	Todd d. stern, the chief american climate negotiator	Todd Stern
871	Todd stern	Todd Stern
872	Todd stern, the american climate envoy	Todd Stern
873	Todd stern, the chief american climate negotiator	Todd Stern
874	U.s. climate envoy todd stern	Todd Stern
875	Us climate negotiator todd stern	Todd Stern
876	joe romm of climate progress	Joe Romm
877	romm	Joe Romm
878	thinkprogress writer joe romm	Joe Romm
879	Joe romm of climate progress	Joe Romm
880	Romm	Joe Romm
881	Thinkprogress writer joe romm	Joe Romm
882	""" mr. stern"	Nicholas Stern
883	experts including nobel laureate joseph stiglitz and former world bank chief economist nicholas stern	Nicholas Stern
884	mr. stern	Nicholas Stern
885	nicholas stern	Nicholas Stern
886	two british researchers, fergus green and nicholas stern	Nicholas Stern
887	Experts including nobel laureate joseph stiglitz and former world bank chief economist nicholas stern	Nicholas Stern
888	Mr. stern	Nicholas Stern
889	Nicholas stern	Nicholas Stern
890	Two british researchers, fergus green and nicholas stern	Nicholas Stern
891	glen peters	Glen Peters
892	Glen peters	Glen Peters
893	sen. lamar alexander, a republican from tennessee	Lamar Smith
894	those three republicans – senators lisa murkowski of alaska, susan collins of maine, and lamar alexander of tennessee –	Lamar Alexander
895	Sen. lamar alexander, a republican from tennessee	Lamar Smith
896	Those three republicans – senators lisa murkowski of alaska, susan collins of maine, and lamar alexander of tennessee –	Lamar Alexander
897	henry waxman	Henry Waxman
898	senator sheldon whitehouse and representative henry waxman	Henry Waxman
899	waxman	Henry Waxman
900	Henry waxman	Henry Waxman
901	Senator sheldon whitehouse and representative henry waxman	Henry Waxman
902	Waxman	Henry Waxman
903	atmospheric scientist kerry emanuel of mit	Kerry Emanuel
904	emanuel	Kerry Emanuel
905	kerry emanuel	Kerry Emanuel
906	kerry emanuel of the massachusetts institute of technology who presented two studies	Kerry Emanuel
907	mit hurricane expert kerry emanuel	Kerry Emanuel
908	Atmospheric scientist kerry emanuel of mit	Kerry Emanuel
909	Emanuel	Kerry Emanuel
910	Kerry emanuel	Kerry Emanuel
911	Kerry emanuel of the massachusetts institute of technology who presented two studies	Kerry Emanuel
912	Mit hurricane expert kerry emanuel	Kerry Emanuel
913	california attorney general xavier becerra	Xavier Becerra
914	california’s attorney general xavier becerra	Xavier Becerra
915	California attorney general xavier becerra	Xavier Becerra
916	California’s attorney general xavier becerra	Xavier Becerra
917	dr. chu, a physicist	Steven Chu
918	energy secretary stephen chu	Steven Chu
919	energy secretary steven chu	Steven Chu
920	mr chu	Steven Chu
921	mr. chu’s spokesman	Steven Chu
922	mr. obama’s energy secretary steven chu	Steven Chu
923	obama’s energy secretary nominee steven chu	Steven Chu
924	steven chu	Steven Chu
925	the fiasco former secretary of energy stephen chu	Steven Chu
926	Dr. chu, a physicist	Steven Chu
927	Energy secretary stephen chu	Steven Chu
928	Energy secretary steven chu	Steven Chu
929	Mr chu	Steven Chu
930	Mr. chu’s spokesman	Steven Chu
931	Mr. obama’s energy secretary steven chu	Steven Chu
932	Obama’s energy secretary nominee steven chu	Steven Chu
933	Steven chu	Steven Chu
934	The fiasco former secretary of energy stephen chu	Steven Chu
935	david keith	David Keith
936	srm researcher david keith of harvard university	David Keith
937	two harvard scientists, lee miller and david keith	David Keith
938	David keith	David Keith
939	Srm researcher david keith of harvard university	David Keith
940	Two harvard scientists, lee miller and david keith	David Keith
941	@carloslcurbelo	Carlos Curbelo
942	curbelo	Carlos Curbelo
943	curbelo’s republican climate caucus colleagues	Carlos Curbelo
944	deutch, curbelo, and advocates for citizens climate lobby	Carlos Curbelo
945	former florida republican congressman carlos curbelo	Carlos Curbelo
946	Curbelo	Carlos Curbelo
947	Curbelo’s republican climate caucus colleagues	Carlos Curbelo
948	Deutch, curbelo, and advocates for citizens climate lobby	Carlos Curbelo
949	Former florida republican congressman carlos curbelo	Carlos Curbelo
950	kevin anderson	Kevin Anderson
951	kevin anderson, of the uk's tyndall centre for climate change research	Kevin Anderson
952	Kevin anderson	Kevin Anderson
953	Kevin anderson, of the uk's tyndall centre for climate change research	Kevin Anderson
954	democrat new york attorney general eric schneiderman	Eric Schneiderman
955	new york attorney general eric schneiderman	Eric Schneiderman
956	new york attorney general eric schneiderman’s pursuit of exxonmobil	ExxonMobil
957	new york state attorney general eric schneiderman	Eric Schneiderman
958	schneiderman	Eric Schneiderman
959	schneiderman’s	Eric Schneiderman
960	Democrat new york attorney general eric schneiderman	Eric Schneiderman
961	New york attorney general eric schneiderman	Eric Schneiderman
962	New york attorney general eric schneiderman’s pursuit of exxonmobil	ExxonMobil
963	New york state attorney general eric schneiderman	Eric Schneiderman
964	Schneiderman	Eric Schneiderman
965	Schneiderman’s	Eric Schneiderman
966	mufson	Steven Mufson
967	Mufson	Steven Mufson
968	eric holthaus	Eric Holthaus
969	holthaus	Eric Holthaus
970	our climate desk colleague, eric holthaus, this week	Eric Holthaus
971	our privacy policy  slate meteorologist eric holthaus	Eric Holthaus
972	Eric holthaus	Eric Holthaus
973	Holthaus	Eric Holthaus
974	Our climate desk colleague, eric holthaus, this week	Eric Holthaus
975	Our privacy policy  slate meteorologist eric holthaus	Eric Holthaus
976	interior secretary ken salazar	Ken Salazar
977	Interior secretary ken salazar	Ken Salazar
978	attenborough	David Attenborough
979	british broadcaster and natural historian sir david attenborough	David Attenborough
980	british broadcaster sir david attenborough	David Attenborough
981	british naturalist sir david attenborough	David Attenborough
982	environmentalist david attenborough	David Attenborough
983	famous naturalist david attenborough	David Attenborough
984	famous nature documentarian sir david attenborough	David Attenborough
985	its star enviro loon sir david attenborough	David Attenborough
986	multimillionaire sir david attenborough	David Attenborough
987	sir david attenborough	David Attenborough
988	the famed british television naturalist david attenborough	David Attenborough
989	Attenborough	David Attenborough
990	British broadcaster and natural historian sir david attenborough	David Attenborough
991	British broadcaster sir david attenborough	David Attenborough
992	British naturalist sir david attenborough	David Attenborough
993	Environmentalist david attenborough	David Attenborough
994	Famous naturalist david attenborough	David Attenborough
995	Famous nature documentarian sir david attenborough	David Attenborough
996	Its star enviro loon sir david attenborough	David Attenborough
997	Multimillionaire sir david attenborough	David Attenborough
998	Sir david attenborough	David Attenborough
999	The famed british television naturalist david attenborough	David Attenborough
1000	brady dennis and lenny bernstein in the washington post	Brady Dennis
1001	Brady dennis and lenny bernstein in the washington post	Brady Dennis
1002	bledsoe	Paul Bledsoe
1003	paul bledsoe, a senior energy fellow at the progressive policy institute	Paul Bledsoe
1004	Bledsoe	Paul Bledsoe
1005	Paul bledsoe, a senior energy fellow at the progressive policy institute	Paul Bledsoe
1006	""" nordhaus"	William Nordhaus
1007	nordhaus	William Nordhaus
1008	Nordhaus	William Nordhaus
1009	lieberman	Joe Lieberman
1010	sens. joe lieberman	Joe Lieberman
1011	Lieberman	Joe Lieberman
1012	Sens. joe lieberman	Joe Lieberman
1013	inglis	Bob Inglis
1014	republican congressman bob inglis	Bob Inglis
1015	you ask bob inglis of the energy & enterprise initiative	Bob Inglis
1016	Inglis	Bob Inglis
1017	Republican congressman bob inglis	Bob Inglis
1018	You ask bob inglis of the energy & enterprise initiative	Bob Inglis
1019	cru prof. phil jones	Phil Jones
1020	disgraced cru boss professor phil jones	Phil Jones
1021	even the cru’s phil jones	Phil Jones
1022	jones and his crew of climate change fraudsters	Rex Jones
1023	jones'	Alan Jones
1024	phil jones	Phil Jones
1025	professor phil jones	Phil Jones
1026	professor phil jones, the cru’s director	Phil Jones
1027	Cru prof. phil jones	Phil Jones
1028	Disgraced cru boss professor phil jones	Phil Jones
1029	Even the cru’s phil jones	Phil Jones
1030	Jones and his crew of climate change fraudsters	Rex Jones
1031	Jones'	Alan Jones
1032	Phil jones	Phil Jones
1033	Professor phil jones	Phil Jones
1034	Professor phil jones, the cru’s director	Phil Jones
1035	craven	Greg Craven
1036	Craven	Greg Craven
1037	goodstein	Eban Goodstein
1038	Goodstein	Eban Goodstein
1039	myhre	Sarah Myhre
1040	sarah myhre	Sarah Myhre
1041	Myhre	Sarah Myhre
1042	Sarah myhre	Sarah Myhre
1043	actress shailene woodley	Shailene Woodley
1044	Actress shailene woodley	Shailene Woodley
1045	xr spokesperson zion lights	Zion Lights
1046	Xr spokesperson zion lights	Zion Lights
1047	prominent environmentalist david suzuki	David Suzuki
1048	suzuki	David Suzuki
1049	Prominent environmentalist david suzuki	David Suzuki
1050	Suzuki	David Suzuki
1051	professor stefan rahmstorf	Stefan Rahmstorf
1052	rahmstorf	Stefan Rahmstorf
1053	stefan rahmstorf and dim coumou	Stefan Rahmstorf
1054	Professor stefan rahmstorf	Stefan Rahmstorf
1055	Rahmstorf	Stefan Rahmstorf
1056	Stefan rahmstorf and dim coumou	Stefan Rahmstorf
1057	berry	Adrian Berry
1058	wendell berry	Wendell Berry
1059	Berry	Adrian Berry
1060	Wendell berry	Wendell Berry
1061	a senior fellow at the cato institute, jerry taylor	Jerry Taylor
1062	A senior fellow at the cato institute, jerry taylor	Jerry Taylor
1063	@xiuhtezcatl	Xiuhtezcatl Martinez
1064	michael mann, director of the earth system science center at pennsylvania state university and co-author on the paper	Michael E. Mann
1065	Michael mann, director of the earth system science center at pennsylvania state university and co-author on the paper	Michael E. Mann
1066	bartholomew	Patriarch Bartholomew I
1067	Bartholomew	Patriarch Bartholomew I
1068	d-r.i.)	Duncan D. Hunter
1069	ehrlich	Paul R. Ehrlich
1070	former vice president joseph r. biden jr.	Paul R. Ehrlich
1071	ian adams of the r street institute	Paul R. Ehrlich
1072	its chief proponent, rep. bill seitz, r-cincinnati	Paul R. Ehrlich
1073	john r. christy, who directs the earth system science center at the university of alabama at huntsville	Paul R. Ehrlich
1074	paul	Paul R. Ehrlich
1075	paul ehrlich	Paul R. Ehrlich
1076	paul knappenberger and patrick michaels at the cato institute	Patrick Michaels
1077	rep. jackie walorski (r-ind.)	Paul R. Ehrlich
1078	representative bruce westerman (r-ar)	Paul R. Ehrlich
1079	republicans in utah, particularly sen. orrin g. hatch and gov. gary r. herbert	Paul R. Ehrlich
1080	sen. james m. inhofe, r-okla	Paul R. Ehrlich
1081	sen. lindsey graham (r-sc)	Paul R. Ehrlich
1082	sen. steve daines, r-mont	Paul R. Ehrlich
1083	senator jim inhofe (r-ok), chairman of the senate environment and public works committee	Paul R. Ehrlich
1084	van der vaart, who lead north carolina’s department of environmental quality under governor pat mccrory (r)	Paul R. Ehrlich
1085	D-r.i.)	Duncan D. Hunter
1086	Ehrlich	Paul R. Ehrlich
1087	Former vice president joseph r. biden jr.	Paul R. Ehrlich
1088	Ian adams of the r street institute	Paul R. Ehrlich
1089	Its chief proponent, rep. bill seitz, r-cincinnati	Paul R. Ehrlich
1090	John r. christy, who directs the earth system science center at the university of alabama at huntsville	Paul R. Ehrlich
1091	Paul	Paul R. Ehrlich
1092	Paul ehrlich	Paul R. Ehrlich
1093	Paul knappenberger and patrick michaels at the cato institute	Patrick Michaels
1094	Rep. jackie walorski (r-ind.)	Paul R. Ehrlich
1095	Representative bruce westerman (r-ar)	Paul R. Ehrlich
1096	Republicans in utah, particularly sen. orrin g. hatch and gov. gary r. herbert	Paul R. Ehrlich
1097	Sen. james m. inhofe, r-okla	Paul R. Ehrlich
1098	Sen. lindsey graham (r-sc)	Paul R. Ehrlich
1099	Sen. steve daines, r-mont	Paul R. Ehrlich
